Job Title,Company,Job Type,Location,Salary,Job Description
Administration/Secretary,the white lab,Full Time,"Manchester, NW",£20k - £25k Per Year,"Professional, experienced Secretary immediately required for Manchester City centre dental laboratory, (full time and permanent basis)
Ideally you will have prior experience as you will be expected to liaise directly with clients some financial skills a benefit
Willingness to adapt and develop skill-sets and knowledge.
Skills:
- A collaborative team player, capable of working well with and supporting others
- Extremely well-organised, with the ability to plan ahead, to problem solve and to have the confidence and ability to work on your own initiative
- Excellent communication skills and the ability to deliver messages both written and verbal in a confident and engaging manner
- Flexible and adaptable approach
- Confidential and discreet manner, for dealing with confidential information
-Must be proactive, having the drive to succeed in a fast-paced & demanding environment
-Resilient and tenacious
Duties will include but not limited to the following:
- Be the first point of contact for clients and new enquiries and providing a high level of service
- Maintaining HR records, administering the recruitment of staff and recording holiday and sickness absences
-Data entry
-Help keep us up to date with the General dental council guidelines ie DAMAS
-Some financial and bookkeeping knowledge advantageous
Reference ID: the white lab
Job Types: Full-time, Permanent
Salary: £20,000.00-£25,000.00 per year
Promoted by: the white lab"
Courier,Just Eat,Full Time,"Birmingham, MID",,"Professional, experienced Secretary immediately required for Manchester City centre dental laboratory, (full time and permanent basis)
Ideally you will have prior experience as you will be expected to liaise directly with clients some financial skills a benefit
Willingness to adapt and develop skill-sets and knowledge.
Skills:
- A collaborative team player, capable of working well with and supporting others
- Extremely well-organised, with the ability to plan ahead, to problem solve and to have the confidence and ability to work on your own initiative
- Excellent communication skills and the ability to deliver messages both written and verbal in a confident and engaging manner
- Flexible and adaptable approach
- Confidential and discreet manner, for dealing with confidential information
-Must be proactive, having the drive to succeed in a fast-paced & demanding environment
-Resilient and tenacious
Duties will include but not limited to the following:
- Be the first point of contact for clients and new enquiries and providing a high level of service
- Maintaining HR records, administering the recruitment of staff and recording holiday and sickness absences
-Data entry
-Help keep us up to date with the General dental council guidelines ie DAMAS
-Some financial and bookkeeping knowledge advantageous
Reference ID: the white lab
Job Types: Full-time, Permanent
Salary: £20,000.00-£25,000.00 per year
Promoted by: the white lab"
ELECTRICIAN,4Site Electrical Services,Full Time,"Biggleswade, HC",,"Due to expansion and increase workload, we have several exciting opportunities for the right candidates.
We are recruiting a team of engineers who can carry out all aspects of electrical works completed to a high quality, within a realistic yet efficient time scale and with excellent customer service.
Our client base is a large portfolio of Estate Agents, Property Management Companies and Private landlords (both residential and commercial)
We are looking to add to our current team: Experienced Electricians, who have a wide range of experience in all aspects of Testing, Inspecting & Maintenance.
All jobs are arranged by an experienced bookings team, providing all the relevant information needed to attend and carry out the works. We use state of the art software that can be downloaded onto a smart device where your jobs will be sent through to complete detailed reports, photo & video evidence following findings, making admin simple and minimal.
Salary negotiable for the right candidate, depending on experience.
Role & Responsibilities:
To adhere to all company policy Covid Safety Risk Assessments at all jobs
To complete planned and reactive jobs
Ability to complete EICRs + PAT tets
Complete Remedial works + Installs.
Complete fault finding and domestic repairs.
Knowledge with Economy 7, Immersions + Storage heaters.
Any other Knowledge in other trades is an advantage but not essential.
Be clean and tidy - in appearance and areas of work
Provide clear reports on works and schedule progress
To be accountable for all work, making sure works are carried out safely and cost effectively
Happy to work on the rota for Emergency out of hours call outs.
Candidate
Previous experience within the building or maintenance industry.
18th Edition Licence
Full (clean) UK driving licence
Own tools
Fluent in English, both written and verbally.
Proactive and can do attitude
Great customer service skills.
The company
Salary based on Experience and Qualifications
Company Van
Fuel card
Overtime: Great overtime initiatives
Full uniform
20 Days Holiday
Working in a family run business that is expanding rapidly
If you feel you would be well suited for the role or would like to find out more, please send your CV along with your current salary and salary expectations.
Reference ID: 4 Site Elec
Job Types: Full-time, Permanent
Salary: £22,012.00-£43,065.00 per year
COVID-19 considerations:
we will provide PPE to all staff and make sure that all clients adhere to our Covid Safe working environment
Promoted by: 4Site Electrical Services"
Physiotherapist,Arrows Recruiting LTD,Full Time,"Croydon, London",£35k - £40k Per Year,"Due to expansion and increase workload, we have several exciting opportunities for the right candidates.
We are recruiting a team of engineers who can carry out all aspects of electrical works completed to a high quality, within a realistic yet efficient time scale and with excellent customer service.
Our client base is a large portfolio of Estate Agents, Property Management Companies and Private landlords (both residential and commercial)
We are looking to add to our current team: Experienced Electricians, who have a wide range of experience in all aspects of Testing, Inspecting & Maintenance.
All jobs are arranged by an experienced bookings team, providing all the relevant information needed to attend and carry out the works. We use state of the art software that can be downloaded onto a smart device where your jobs will be sent through to complete detailed reports, photo & video evidence following findings, making admin simple and minimal.
Salary negotiable for the right candidate, depending on experience.
Role & Responsibilities:
To adhere to all company policy Covid Safety Risk Assessments at all jobs
To complete planned and reactive jobs
Ability to complete EICRs + PAT tets
Complete Remedial works + Installs.
Complete fault finding and domestic repairs.
Knowledge with Economy 7, Immersions + Storage heaters.
Any other Knowledge in other trades is an advantage but not essential.
Be clean and tidy - in appearance and areas of work
Provide clear reports on works and schedule progress
To be accountable for all work, making sure works are carried out safely and cost effectively
Happy to work on the rota for Emergency out of hours call outs.
Candidate
Previous experience within the building or maintenance industry.
18th Edition Licence
Full (clean) UK driving licence
Own tools
Fluent in English, both written and verbally.
Proactive and can do attitude
Great customer service skills.
The company
Salary based on Experience and Qualifications
Company Van
Fuel card
Overtime: Great overtime initiatives
Full uniform
20 Days Holiday
Working in a family run business that is expanding rapidly
If you feel you would be well suited for the role or would like to find out more, please send your CV along with your current salary and salary expectations.
Reference ID: 4 Site Elec
Job Types: Full-time, Permanent
Salary: £22,012.00-£43,065.00 per year
COVID-19 considerations:
we will provide PPE to all staff and make sure that all clients adhere to our Covid Safe working environment
Promoted by: 4Site Electrical Services"
Chef,,Full Time,"Belper, MID",,"Do you long for the freedom to use your creativity in food to its fullest potential?
We are looking for a highly creative and passionate chef to join our fresh, newly opening café in the heart of the highly popular village of Duffield, Derbyshire.
Working 6 days a week, including weekends. Full time and part time hours available.
Main Duties:
· Work with the owner to create exciting and delicious sweet treats and be willing to continuously update the menu depending on the season and holidays.
· To prepare light breakfasts and brunch throughout the day (including afternoon tea, sandwiches, smoothie bowls ect).
· Food preparation.
· Stock management and ordering from suppliers.
· To work to legal & safe practices and ensuring high hygiene standards.
· To ensure all products leaving the kitchen are to the highest possible standard.
Desirable Candidate:
· The successful candidate will be highly driven, passionate and creative.
· Have excellent time keeping
· Is self-motivated and committed to personal development
· Must have experience (professional training desirable but not essential)
Starting from mid-end of May 2021
Salary Negotiable.
Paid Holiday.
Must be willing to provide an example menu and demonstrate skills during the interview process.


Promoted"
Driver,Just Eat,Full Time,"Birmingham, MID",,"Do you long for the freedom to use your creativity in food to its fullest potential?
We are looking for a highly creative and passionate chef to join our fresh, newly opening café in the heart of the highly popular village of Duffield, Derbyshire.
Working 6 days a week, including weekends. Full time and part time hours available.
Main Duties:
· Work with the owner to create exciting and delicious sweet treats and be willing to continuously update the menu depending on the season and holidays.
· To prepare light breakfasts and brunch throughout the day (including afternoon tea, sandwiches, smoothie bowls ect).
· Food preparation.
· Stock management and ordering from suppliers.
· To work to legal & safe practices and ensuring high hygiene standards.
· To ensure all products leaving the kitchen are to the highest possible standard.
Desirable Candidate:
· The successful candidate will be highly driven, passionate and creative.
· Have excellent time keeping
· Is self-motivated and committed to personal development
· Must have experience (professional training desirable but not essential)
Starting from mid-end of May 2021
Salary Negotiable.
Paid Holiday.
Must be willing to provide an example menu and demonstrate skills during the interview process.


Promoted"
Mammographer,National Health Service,Full Time,"Harpenden, HC",,"Job Reference: J240-3862
Employer:
Spire Healthcare Ltd
Department:
Imaging
Location:
Harpenden
Salary:
Band 7
Mammographer Imaging | Band 6/7 | Part time – 22.5 hours | Harpenden, St Albans | Opportunity to train in CT
Spire Harpenden has a fantastic part time opportunity for an enthusiastic and motivated Mammographer to join our Imaging Team. The Radiology team plays a vital role in providing excellent patient outcomes. The successful applicant will be rewarded with advancement opportunities and an interesting and varied role
Spire Harpenden Hospital offers comprehensive private hospital services in a comfortable and relaxed environment to patients from London and its northern counties - Hertfordshire, Bedfordshire, and Buckinghamshire. As the largest employer in Harpenden, the hospital prides itself in offering excellence in clinical quality, customer service, and cleanliness. We have 5 state of the art Theatres and modern Surgical and Day Care Wards covering all major surgery, orthopedics, gynecology, plastics and medical patients amongst others.
Duties and responsibilities:
Provide highly skilled and specialized Mammography and general imaging for patients within the radiographic department. Provide specialized Mammography advice to patients
The post-holder should be a skilled Radiographer/Mammographer willing to rotate across other modalities
This role will provide the individual with the opportunity to build on and extend their clinical expertise.
Education and training are key elements of the department and therefore role extension and further learning is encouraged. Flexibility and innovation are fundamental to this role and strong communication skills are essential
Who we're looking for:
Current HCPC registration, UK based experience and a Degree in Radiography or its equivalent is essential
Post Graduate certificate Mammography
Experience in CT is a plus or the willingness learn
Experience of working in Theatre, X-ray, plain film imaging and fluoroscopy
Willingness to take part in the on call rota
Experience of working in partnership with consultants and participating in creating innovative solutions for a new service
Benefits:
We offer employees a competitive salary as well as a comprehensive benefits package which includes but is not limited to:
35 days annual leave inclusive of bank holidays
Employer and employee contributory pension with flexible retirement options
‘Spire for you’ reward platform - discount and cashback for over 1000 retailers
Free Bupa wellness screening
Private medical insurance
Life assurance
Save an average of £50 per month with our free onsite car park
Please see the attached benefits leaflet for more information.
We commit to our employees well-being through work life balance, on-going development, support and reward.
Spire Healthcare is a leading independent hospital group in the United Kingdom and the largest in terms of revenue. From 39 hospitals and 8 clinics across England, Wales and Scotland, Spire Healthcare provides diagnostics, inpatient, day case and outpatient care
For further information about this role or for an informal conversation about the range of career options available with Spireplease contact Sherine Lowers on0788 570 6278 or email sherine.lowers@spirehealthcare.com
For us, it's more than just treating patients; it's about looking after people.
Closing date: In order to streamline our recruitment process, we reserve the right to expire vacancies prior to the advertised closing date once we have received a sufficient number of applications


Promoted by: National Health Service"
Administrator,AVRS Systems Limited,Full Time,"Stratford-upon-Avon, MID",,"We at AVRS Systems Ltd are looking for a candidate to fill a full-time position as an Administrator. AVRS Systems Ltd primarily work for the power and water industries as electrical contractors. We have three offices based in Stratford-Upon-Avon, Middlesbrough and Cumbria. The vacancy is to be filled in the Stratford-Upon-Avon office, the position is full-time (9am till 5pm) and is office based.

The candidate that we are looking for would ideally have some experience in working in an office environment and be computer literate with excel and word. The tasks that are expected of the candidate include  invoice processing onto a system called Eque2 – (full training will be given on this system).

The job also entails the company vehicles file to be kept up-to-date, this includes ensuring vehicles are taxed, serviced and insured (full training given on the insurance database).   

The candidate must be an organised individual and must be able to work alone and as part of a team, the individual should have a good level of accuracy. Currently the small accounts team consists of a Finance Manager who the candidate will directly report to, the team also consists of a payroll clerk and a finance trainee. We are a friendly team and so are ideally looking for a friendly and positive individual that would fit nicely into the current team. At times the candidate would also be expected to carry out jobs for the Director and assist the other offices when they require some admin jobs to be completed.

Month end duties would require completing, these tasks include journals to be posted in a timely manner. A breakdown of codes spreadsheet to be updated on a monthly basis, this is where hours worked by employees are logged onto a detailed spreadsheet. Other month end duties include posting of fuel invoices and posting vehicle finance transactions. All these tasks need to be completed to strict deadlines.

Invoices will require checking against any purchase orders raised. Purchase orders need to be raised on a cover basis only, when the purchase ordering clerk is on holiday or on training and hence, out of the office.

Filing to help the Finance Manager keep paperwork organised and answering the phone and carrying out stationary orders and booking hotels and other ad hoc office duties. 

If you are interested in this position please send a covering letter and CV direct to - 
Suky.Gill@avrssystems.co.uk
Telephone contact No - 01789 777656
Promoted by: AVRS Systems Limited"
Courier,Just Eat,Full Time,"Liverpool, NW",,"We at AVRS Systems Ltd are looking for a candidate to fill a full-time position as an Administrator. AVRS Systems Ltd primarily work for the power and water industries as electrical contractors. We have three offices based in Stratford-Upon-Avon, Middlesbrough and Cumbria. The vacancy is to be filled in the Stratford-Upon-Avon office, the position is full-time (9am till 5pm) and is office based.

The candidate that we are looking for would ideally have some experience in working in an office environment and be computer literate with excel and word. The tasks that are expected of the candidate include  invoice processing onto a system called Eque2 – (full training will be given on this system).

The job also entails the company vehicles file to be kept up-to-date, this includes ensuring vehicles are taxed, serviced and insured (full training given on the insurance database).   

The candidate must be an organised individual and must be able to work alone and as part of a team, the individual should have a good level of accuracy. Currently the small accounts team consists of a Finance Manager who the candidate will directly report to, the team also consists of a payroll clerk and a finance trainee. We are a friendly team and so are ideally looking for a friendly and positive individual that would fit nicely into the current team. At times the candidate would also be expected to carry out jobs for the Director and assist the other offices when they require some admin jobs to be completed.

Month end duties would require completing, these tasks include journals to be posted in a timely manner. A breakdown of codes spreadsheet to be updated on a monthly basis, this is where hours worked by employees are logged onto a detailed spreadsheet. Other month end duties include posting of fuel invoices and posting vehicle finance transactions. All these tasks need to be completed to strict deadlines.

Invoices will require checking against any purchase orders raised. Purchase orders need to be raised on a cover basis only, when the purchase ordering clerk is on holiday or on training and hence, out of the office.

Filing to help the Finance Manager keep paperwork organised and answering the phone and carrying out stationary orders and booking hotels and other ad hoc office duties. 

If you are interested in this position please send a covering letter and CV direct to - 
Suky.Gill@avrssystems.co.uk
Telephone contact No - 01789 777656
Promoted by: AVRS Systems Limited"
Upholsterer,THE MANSION HOUSE BEDDING COMPANY LIMITED,Full Time,"Ipswich, ANGL",,"The Mansion House Bedding Company are looking to hire skilled Upholsterers to upholster bed frames with padding and fabric or leather to make divan bases, upholstered bedsteads, sofa beds and headboards. In this role, you will be responsible for selecting the appropriate materials for the job, and installing the upholstery to meet the desired specifications.
To ensure success as an Upholsterer, you should have in-depth knowledge of modern upholstery techniques, a good eye for detail, and the ability to visualize design ideas.
The Work
You could be:
taking pre-stitched cases and attaching to frames
covering frames with padding and fabric using tacking guns and glue
using decorative techniques such as fringing, piping and buttoning
Smoothing out imperfections.
Conducting quality checks on completed orders.
Pay
The rate of pay for this role will be from £10.00 per hour. This can be negotiable depending on experience.
Hours of Work:
Monday – Thurs: 07:00 – 16:00, Fri: 07:00 – 13:00
40 hour basic week with option of overtime where available.
Job Skills & Qualifications
Proven work experience as an Upholsterer.
Detail-oriented.
Knowledge of upholstery tools including nail/tacking guns.
Ability to lift, pull, and manipulate heavy objects.
Ability to stand and walk for up to eight ½ hours a day.
Contact:
To apply for this role, please send your CV to: Stephen Eccles, Managing Director.
For additional info regarding this role, please feel free to contact our office on 01473 255 888 Mon-Fri, 08:30 – 17:00.
These are roles we are looking to recruit for ASAP for the right candidates.
Promoted by: THE MANSION HOUSE BEDDING COMPANY LIMITED"
